"","marks.unit","marks.id","marks.suffix","marks.prism","marks.z.x","marks.type.x","marks.geo.x","marks.spit","marks.exc","marks.plunge","marks.bearing","marks.length.x","marks.max_width","marks.thickness","marks.collected.x","marks.comment","marks.date.x","marks.time","marks.year","marks.date.y","marks.z.y","marks.type.y","marks.geo.y","marks.collected.y","marks.integrity","marks.articulation","marks.nsp.bone","marks.nsp.tooth","marks.nsp.total","marks.skeletal.element","marks.skeletal.part","marks.bone.portion","marks.voorhies.group","marks.BM.category","marks.bone.shape..cube.tube.flat.","marks.bone.structure..dense.trabecular.","marks.description","marks.class","marks.order","marks.family","marks.genus","marks.species","marks.taxon","marks.stratified.surface","marks.length.y","marks.carnivore_gnawing","marks.refit","marks.remarks","marks.reference_id.if_from_plaster_jacket.","marks.totalstation_comment","mx","my"
"350","D19","23","0",0,-3.564,"Bone/Tooth","4","2","KH",NA,NA,110,NA,NA,"no","not collected, maxilla with three teeth",2015-06-19,"1:23:47 PM","2015","6/19/2015",-3.564,"Bone/Tooth","4","no","fragment","articulated","1","3","4","maxilla","cranial","fragment","II/III",NA,NA,NA,"maxilla with three teeth","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",110,NA,NA,NA,NA,"not collected, maxilla with three teeth",-19.123,3.575
"356","D20","3","0",0.01,-3.586,"Bone/Tooth","4","1","Prof.GK",24,266,NA,NA,NA,"yes","mandibula, bovid",2015-06-16,"12:57:00 PM","2015","6/16/2015",-3.586,"Bone/Tooth","4","yes","fragment","articulated","1","5","6","mandible","cranial","fragment","II/III","BM4",NA,NA,"mandible dex with p2 frag. and p4-m3","Mammalia","Artiodactyla","Bovidae","Bison","sp.","Bison sp.","stratified",NA,NA,NA,NA,NA,"mandibula, bovid",-20.052,3.418
"360","D20","8","0",0.0099999998,-3.579,"Tooth","4","1","Prof.GK",10,230,NA,NA,NA,"yes","mandibula, bovid",2015-06-17,"12:31:08 PM","2015","6/17/2015",-3.579,"Tooth","4","yes","complete","articulated",NA,"4","4","teeth","cranial",NA,"II/III","BM4",NA,NA,"p4-m3 sin","Mammalia","Artiodactyla","Bovidae","Bison","sp.","Bison sp.","stratified",NA,NA,NA,NA,NA,"mandibula, bovid",-20.863,3.609
"361","D20","9","0",0.0099999998,-3.624,"Bone/Tooth","4","1","Prof.GK",10,190,NA,NA,NA,"yes","mandibula, equus",2015-06-17,"12:33:58 PM","2015","6/17/2015",-3.624,"Bone/Tooth","4","yes","fragment","articulated","1","5","6","mandible","cranial","fragment","II/III","BM4",NA,NA,"mandible frag. dex with p3-m3","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"mandibula, equus",-20.467,3.368
"362","D20","10","0",0.0099999998,-3.608,"Tooth","4","1","Prof.GK",10,220,NA,NA,NA,"yes","maxilla, bovid",2015-06-19,"9:46:43 AM","2015","6/19/2015",-3.608,"Tooth","4","yes","fragment","articulated",NA,"3","3","teeth/maxilla","cranial","fragment","II/III","BM4",NA,NA,"M1 (frag.)-M3 sin","Mammalia","Artiodactyla","Bovidae","Bison","sp.","Bison sp.","stratified",NA,NA,NA,NA,NA,"maxilla, bovid",-20.689,3.375
"367","D20","17","0",0.01,-3.601,"Bone/Tooth","4","1","Prof.GK",8,212,NA,NA,NA,"yes","mandibula, equus",2015-06-22,"11:59:06 AM","2015","6/22/2015",-3.601,"Bone/Tooth","4","yes","fragment","articulated","1","6","7","mandible","cranial","fragment","II/III","BM4",NA,NA,"mandible frag. with p2-m3","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"mandibula, equus",-20.313,3.578
"379","D20","33","0",0.17,-3.962,"Bone/Tooth","4","4","NT",0,66,NA,NA,NA,"yes","lower teeth row",2015-06-29,"9:46:10 AM","2015","6/29/2015",-3.962,"Bone/Tooth","4","yes","fragment","articulated","1","6","7","mandible","cranial","fragment","II/III","BM4",NA,NA,"mandible frag. sin with p2-m3","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"lower teeth row",-20.959,3.862
"411","D22","19","0",0.26,-3.916,"Bone","4","4","DG",20,212,NA,NA,NA,"yes","calcaneus, cervid, articulated with further bones in the profile",2015-06-26,"1:02:38 PM","2015","6/26/2015",-3.916,"Bone","4","yes","complete","articulated","1",NA,"1","tarsal",NA,NA,NA,NA,NA,NA,"calcaneus dex (goes with E22-5)","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"calcaneus, cervid, articulated with further bones in the profile",-22.233,3.956
"413","D22","24","0",0,-4.105,"Bone","4",NA,"DG",20,160,260,170,NA,"yes","articulated, 5 vertebrae, sitting on Mammuth scapula",2017-06-06,"10:14:48 AM","2017","6/6/2017",-4.105,"Bone","4","yes","complete","articulated","1",NA,"1","vertebra",NA,NA,NA,NA,NA,NA,"vertebra","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",260,NA,NA,NA,NA,"articulated, 5 vertebrae, sitting on Mammuth scapula",-22.477,3.27
"414","D22","24","1",0.02,-4.126,"Bone","4",NA,"DG",20,160,260,170,NA,"yes","articulated, 5 vertebrae, sitting on Mammuth scapula",2017-06-06,"10:19:17 AM","2017","6/6/2017",-4.126,"Bone","4","yes","complete","articulated","1",NA,"1","vertebra",NA,NA,NA,NA,NA,NA,"vertebra","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",260,NA,NA,NA,NA,"articulated, 5 vertebrae, sitting on Mammuth scapula",-22.465,3.217
"415","D22","24","2",0.03,-4.164,"Bone","4",NA,"DG",20,160,260,170,NA,"yes","articulated, 5 vertebrae, sitting on Mammuth scapula",2017-06-06,"10:19:31 AM","2017","6/6/2017",-4.164,"Bone","4","yes","complete","articulated","1",NA,"1","vertebra",NA,NA,NA,NA,NA,NA,"vertebra","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",260,NA,NA,NA,NA,"articulated, 5 vertebrae, sitting on Mammuth scapula",-22.424,3.155
"416","D22","24","3",0.029999999,-4.169,"Bone","4",NA,"DG",20,160,260,170,NA,"yes","articulated, 5 vertebrae, sitting on Mammuth scapula",2017-06-06,"10:19:42 AM","2017","6/6/2017",-4.169,"Bone","4","yes","complete","articulated","1",NA,"1","vertebra",NA,NA,NA,NA,NA,NA,"vertebra","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",260,NA,NA,NA,NA,"articulated, 5 vertebrae, sitting on Mammuth scapula",-22.446,3.125
"417","D22","24","4",0.02,-4.179,"Bone","4",NA,"DG",20,160,260,170,NA,"yes","articulated, 5 vertebrae, sitting on Mammuth scapula",2017-06-06,"10:20:10 AM","2017","6/6/2017",-4.179,"Bone","4","yes","complete","articulated","1",NA,"1","vertebra","axial",NA,NA,NA,NA,NA,"vertebra","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",260,NA,NA,NA,NA,"articulated, 5 vertebrae, sitting on Mammuth scapula",-22.462,3.099
"420","D23","3","0",0,-4.282,"Bone","4",NA,"VT",10,248,250,25,NA,"yes","radios,ulna",2017-06-02,"10:39:41 AM","2017","6/2/2017",-4.282,"Bone","4","yes","fragment","articulated","2",NA,"2","radius, ulna","appendicular",NA,NA,NA,NA,NA,"radius and ulna","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",250,NA,NA,NA,NA,"radios,ulna",-23.799,3.033
"433","E16","8","0",0.3,-3.732,"Tooth","4",NA,"DK",NA,NA,NA,NA,NA,"yes","isolated incisor,",2016-06-06,"11:41:47 AM","2016","6/6/2016",-3.732,"Tooth","4","yes","complete","articulated",NA,"2","2","teeth","cranial",NA,NA,NA,NA,NA,"incisors","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"isolated incisor,",-16.408,4.388
"440","E16","15","0",0.3,-3.725,"Bone","4",NA,"GK",NA,NA,NA,NA,NA,"yes","articulated humerous",2016-06-08,"12:57:10 PM","2016","6/8/2016",-3.725,"Bone","4","yes","complete","articulated","1",NA,"1","phalanx",NA,NA,NA,NA,NA,NA,"first phalanx sin","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"articulated humerous",-16.043,4.515
"441","E16","15","1",0.3000000119,-3.719,"Bone","4",NA,"GK",NA,NA,NA,NA,NA,"yes","articulated humerous",2016-06-08,"12:59:12 PM","2016","6/8/2016",-3.719,"Bone","4","yes","complete","articulated","1",NA,"1","metapode",NA,NA,NA,NA,NA,NA,"metacarpal sin","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"articulated humerous",-16.192,4.509
"442","E16","15","2",0.3000000119,-3.713,"Bone","4",NA,"GK",0,30,NA,NA,NA,"yes","articulated humerous",2016-06-08,"12:59:34 PM","2016","6/8/2016",-3.713,"Bone","4","yes","complete","articulated","7",NA,"7","carpal",NA,NA,NA,NA,NA,NA,"carpals sin","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"articulated humerous",-16.313,4.521
"443","E16","15","3",0.4,-3.742,"Bone","4",NA,"GK",NA,NA,NA,NA,NA,"yes","articulated humerous",2016-06-08,"12:59:52 PM","2016","6/8/2016",-3.742,"Bone","4","yes","complete","articulated","1",NA,"1","radius, ulna",NA,NA,NA,NA,NA,NA,"radius-ulna sin","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"articulated humerous",-16.305,4.701
"444","E16","15","4",0.5,-3.77,"Bone","4",NA,"GK",NA,NA,NA,NA,NA,"yes","articulated humerous",2016-06-09,"12:21:11 PM","2016","6/9/2016",-3.77,"Bone","4","yes","fragment","articulated","1",NA,"1","humerus","appendicular",NA,NA,NA,NA,NA,"humerus sin","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,"yes",NA,NA,NA,"articulated humerous",-16.305,4.887
"447","E16","18","0",0.3,-3.727,"Bone/Tooth","4",NA,"GK",NA,NA,120,80,NA,"yes","maxilla, ursus",2016-06-08,"3:56:54 PM","2016","6/8/2016",-3.727,"Bone/Tooth","4","yes","fragment","articulated","1","3","4","maxilla","cranial","fragment","II/III","BM3",NA,NA,"right maxilla frag. with P4-M2","Mammalia","Carnivora","Ursidae","Ursus","etruscus","Ursus etruscus","stratified",NA,NA,NA,NA,NA,"maxilla, ursus",-16.156,4.561
"465","E17","6","0",0.4,-3.863,"Bone","4",NA,"Prof.GK",18,118,NA,NA,NA,"yes","articulated tibia,",2016-06-02,"2:22:51 PM","2016","6/2/2016",-3.863,"Bone","4","yes","fragment","articulated","1",NA,"1","tibia",NA,NA,NA,NA,NA,NA,"tibia sin","Mammalia","Artiodactyla","Bovidae",NA,"?ambiguus","Bovidae ?ambiguus","stratified",NA,NA,NA,NA,NA,"articulated tibia,",-17.314,4.136
"466","E17","6","1",0.400000006,-3.839,"Bone","4",NA,"Prof.GK",20,234,NA,NA,NA,"yes","articulated metatarsal,",2016-06-02,"2:24:37 PM","2016","6/2/2016",-3.839,"Bone","4","yes","complete","articulated","1",NA,"1","metapode",NA,NA,NA,NA,NA,NA,"metatarsal sin","Mammalia","Artiodactyla","Bovidae",NA,"?ambiguus","Bovidae ?ambiguus","stratified",NA,NA,NA,NA,NA,"articulated metatarsal,",-17.158,4.198
"467","E17","6","2",0.35,-3.807,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","articulated phalanx (all),",2016-06-02,"2:25:45 PM","2016","6/2/2016",-3.807,"Bone","4","yes","complete","articulated","5",NA,"5","phalanx",NA,NA,NA,NA,NA,NA,"first (x2), second (x2) and third (x1) phalanges sin","Mammalia","Artiodactyla","Bovidae",NA,"?ambiguus","Bovidae ?ambiguus","stratified",NA,NA,NA,NA,NA,"articulated phalanx (all),",-16.982,4.247
"471","E17","7","0",0.15,-3.838,"Bone","4",NA,"Prof.GK",4,250,200,40,NA,"yes","articulated tibia, equus",2016-06-03,"11:52:12 AM","2016","6/3/2016",-3.838,"Bone","4","yes","fragment","articulated","1",NA,"1","tibia",NA,"distal",NA,NA,NA,NA,"tibia sin, distal frag.","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"articulated tibia, equus",-17.54,4.21
"472","E17","7","1",0.150000006,-3.857,"Bone","4",NA,"Prof.GK",0,150,NA,NA,NA,"yes","articulated metapodial, equus",2016-06-03,"11:53:39 AM","2016","6/3/2016",-3.857,"Bone","4","yes","complete","articulated","3",NA,"3","metapode",NA,NA,NA,NA,NA,NA,"metatarsal and lateral metatarsals sin","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"articulated metapodial, equus",-17.349,4.213
"473","E17","7","2",0.3,-3.852,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","articulated I phalanx, equus",2016-06-03,"11:55:00 AM","2016","6/3/2016",-3.852,"Bone","4","yes","complete","articulated","1",NA,"1","phalanx",NA,NA,NA,NA,NA,NA,"first phalanx sin","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"articulated I phalanx, equus",-17.179,4.274
"474","E17","7","3",0.3000000119,-3.841,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","articulated II phalanx, equus",2016-06-03,"11:55:30 AM","2016","6/3/2016",-3.841,"Bone","4","yes","complete","articulated","1",NA,"1","phalanx",NA,NA,NA,NA,NA,NA,"second phalanx sin","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"articulated II phalanx, equus",-17.104,4.285
"475","E17","7","4",0.3000000119,-3.831,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","articulated III phalanx, equus",2016-06-03,"11:55:39 AM","2016","6/3/2016",-3.831,"Bone","4","yes","complete","articulated","1",NA,"1","phalanx",NA,NA,NA,NA,NA,NA,"third phalanx sin","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"articulated III phalanx, equus",-17.081,4.311
"477","E17","8","0",0.1,-3.924,"Bone","4",NA,"Prof.GK",NA,NA,70,NA,NA,"yes","tarsal",2016-06-03,"1:25:36 PM","2016","6/3/2016",-3.924,"Bone","4","yes","complete","articulated","4",NA,"4","tarsal","appendicular",NA,NA,NA,NA,NA,"a. calcaneus, b. astragalus, c. cuboscaphoid, e. tarsal dex","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"tarsal",-17.77,4.016
"484","E17","16","0",0.1,-3.953,"Bone/Tooth","4",NA,"DK",NA,NA,NA,NA,NA,"yes","isolated tooth, equus",2016-06-10,"12:50:37 PM","2016","6/10/2016",-3.953,"Bone/Tooth","4","yes","fragment","articulated","1","1","2","mandible","cranial","fragment","II/III","BM4",NA,NA,"mandible frag. with tooth","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"isolated tooth, equus",-17.885,4.48
"487","E17","19","0",0,-3.928,"Bone","4",NA,"KH",18,222,90,40,NA,"yes","Deer, calcaneous",2017-05-30,"11:26:14 AM","2017","5/30/2017",-3.928,"Bone","4","yes","complete","articulated","1",NA,"1","tarsal",NA,NA,NA,NA,NA,NA,"calcaneus sin","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",90,NA,NA,NA,NA,"Deer, calcaneous",-17.257,4.094
"511","E18","8","0",0.0099999998,-3.567,"Bone","4",NA,"GK",10,170,350,110,NA,"yes","articulated femur, equus",2016-06-02,"12:51:12 PM","2016","6/2/2016",-3.567,"Bone","4","yes","fragment","articulated","1",NA,"1","femur",NA,"distal",NA,NA,NA,NA,"femur dex, distal frag.","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"articulated femur, equus",-18.477,4.264
"512","E18","8","1",0.0099999998,-3.609,"Bone","4",NA,"GK",10,130,340,70,NA,"yes","articulated tibia, equus",2016-06-02,"12:54:00 PM","2016","6/2/2016",-3.609,"Bone","4","yes","complete","articulated","1",NA,"1","tibia","appendicular",NA,NA,NA,NA,NA,"tibia dex","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"articulated tibia, equus",-18.29,4.226
"517","E18","13","0",0.02,-3.834,"Tooth","4",NA,"GK",NA,NA,NA,NA,NA,"yes","2 isolated bid teeth",2016-06-03,"1:14:40 PM","2016","6/3/2016",-3.834,"Tooth","4","yes","complete","articulated",NA,"2","2","teeth","cranial",NA,NA,NA,NA,NA,"molars","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"2 isolated bid teeth",-18.559,4.144
"535","E19","6","0",0.02,-3.499,"Bone/Tooth","4","1","EB",14,200,NA,NA,NA,"yes","mandibula, equus",2015-06-29,"11:18:49 AM","2015","6/29/2015",-3.499,"Bone/Tooth","4","yes","fragment","articulated","1","5","6","mandible","cranial","fragment","II/III","BM4",NA,NA,"mandible frag. dex with p2-m2","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"mandibula, equus",-19.586,4.672
"536","E19","7","0",0.01,-3.476,"Bone/Tooth","4","1","EB",4,190,NA,NA,NA,"yes","mandibula, equus",2015-06-29,"11:20:05 AM","2015","6/29/2015",-3.476,"Bone/Tooth","4","yes","fragment","articulated","1","6","7","mandible","cranial","fragment","II/III","BM4",NA,NA,"mandible frag. sin with p2-m3","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"mandibula, equus",-19.672,4.752
"544","E19","15","0",0.0099999998,-3.515,"Bone/Tooth","4","1","EB",20,164,NA,NA,NA,"no","mandibula",2015-06-29,"11:28:55 AM","2015","6/29/2015",-3.515,"Bone/Tooth","4","no","fragment","articulated","1","?","1","mandible","cranial","fragment","II/III",NA,NA,NA,"mandible","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA,-19.816,4.447
"546","E19","17","0",0.0099999998,-3.546,"Bone/Tooth","4","1","EB",0,120,NA,NA,NA,"yes","mandibula, bovid",2015-06-29,"11:31:18 AM","2015","6/29/2015",-3.546,"Bone/Tooth","4","yes","fragment","articulated","1","4","5","maxilla","cranial","fragment","II/III","BM4",NA,NA,"maxilla frag. dex with DP3 (frag.)-M2","Mammalia","Artiodactyla","Cervidae","Praemegaceros","sp.","Praemegaceros sp.","stratified",NA,NA,NA,NA,NA,"mandibula, bovid",-19.485,4.473
"565","E19","36","0",0,-3.632,"Bone/Tooth","4",NA,"AG",NA,NA,NA,NA,NA,"yes","mandible, equus",2016-06-02,"10:59:47 AM","2016","6/2/2016",-3.632,"Bone/Tooth","4","yes","fragment","articulated","1","2","3","mandible","cranial","fragment","II/III","BM4",NA,NA,"mandible frag.","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"mandible, equus",-19.246,4.695
"575","E19","46","0",0,-3.754,"Bone/Tooth","4",NA,"KH",NA,NA,NA,NA,NA,"yes","mandible",2016-06-08,"2:06:35 PM","2016","6/8/2016",-3.754,"Bone/Tooth","4","yes","fragment","articulated","1","3","4","mandible","cranial","fragment","II/III","BM4",NA,NA,"mandible frag.dex","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"mandible",-19.276,4.675
"643","E21","39","0",0,-4.006,"Tooth","4",NA,"NT",NA,NA,NA,NA,NA,"yes","isolated 2 teeth, artio",2016-06-06,"3:28:21 PM","2016","6/6/2016",-4.006,"Tooth","4","yes","complete","articulated",NA,"2","2","teeth","cranial",NA,NA,NA,NA,NA,"M1-M2","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"isolated 2 teeth, artio",-21.084,4.336
"648","E21","45","0",0,-3.839,"Tooth","4",NA,"NT",0,27,NA,NA,NA,"yes","mandible (3 teeth), bovid",2016-06-08,"12:26:05 PM","2016","6/8/2016",-3.839,"Tooth","4","yes","fragment","articulated",NA,"4","4","teeth/maxilla","cranial","fragment","II/III","BM4",NA,NA,"upper toothrow","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"mandible (3 teeth), bovid",-21.362,4.813
"653","E21","50","0",0,-4.112,"Bone/Tooth","4",NA,"Prof.GK",30,58,300,160,NA,"yes","bear skull",2016-06-09,"12:01:16 PM","2016","6/9/2016",-4.112,"Bone/Tooth","4","yes","complete","articulated","1","10","11","cranium","cranial","complete","III","BM3",NA,NA,"cranium with C and P2-M2 (right side) and P3-M2 (left side)","Mammalia","Carnivora","Ursidae","Ursus","etruscus","Ursus etruscus","stratified",NA,NA,"E21-63","possibly associate with E21-52",NA,"bear skull",-21.62,4.647
"655","E21","52","0",0.25,-4.15,"Bone","4",NA,"Prof.GK",NA,NA,110,70,NA,"yes","articulated 2 vertebra,",2016-06-09,"2:07:48 PM","2016","6/9/2016",-4.15,"Bone","4","yes","complete","articulated","2",NA,"2","vertebra","axial",NA,NA,NA,NA,NA,"a. atlas, b. axis","Mammalia","Carnivora","Ursidae","Ursus","etruscus","Ursus etruscus","stratified",NA,NA,NA,"possibly associate with E21-50",NA,"articulated 2 vertebra,",-21.695,4.884
"656","E21","53","0",0.5,-4.12,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","seconf falang, equus",2016-06-10,"9:47:01 AM","2016","6/10/2016",-4.12,"Bone","4","yes","complete","articulated","1",NA,"1","phalanx",NA,NA,NA,NA,NA,NA,"second phalanx (ariculates with ID: 54, 57)","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"seconf falang, equus",-21.62,4.945
"657","E21","54","0",0.5,-4.113,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","third phalnx, equus",2016-06-10,"9:48:33 AM","2016","6/10/2016",-4.113,"Bone","4","yes","complete","articulated","1",NA,"1","phalanx",NA,NA,NA,NA,NA,NA,"third phalanx (articulates with 53, 57)","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"third phalnx, equus",-21.603,4.948
"660","E21","57","0",0.7,-4.157,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","first phalanx, equus",2016-06-10,"10:10:59 AM","2016","6/10/2016",-4.157,"Bone","4","yes","complete","articulated","1",NA,"1","phalanx","appendicular",NA,NA,NA,NA,NA,"first phalanx (articulates with ID: 53, 54)","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"first phalanx, equus",-21.607,4.983
"661","E21","58","0",0.6,-4.172,"Bone/Tooth","4",NA,"Prof.GK",15,217,130,65,NA,"yes","mussul, equus",2016-06-10,"10:12:47 AM","2016","6/10/2016",-4.172,"Bone/Tooth","4","yes","fragment","articulated","1","6","7","cranium","cranial","fragment","II/III","BM4",NA,NA,"muzzle with canines and incisors","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"mussul, equus",-21.612,4.971
"664","E21","63","0",0.05,-4.288,"Bone/Tooth","4",NA,"NT",22,30,75,30,20,"yes","Ursus, isolated canine",2017-05-31,"10:31:01 AM","2017","5/31/2017",-4.288,"Bone/Tooth","4","yes","fragment","articulated","1","3","4","cranium","cranial","fragment","II/III","BM3",NA,NA,"cranial frag. with incisors and canine","Mammalia","Carnivora","Ursidae","Ursus","etruscus","Ursus etruscus","stratified",75,NA,"E21-50",NA,NA,"Ursus, isolated canine",-21.477,4.743
"670","E22","5","0",0,-3.836,"Bone","4",NA,"DG",4,114,290,120,NA,"yes","articulated femour, artiodactile",2016-06-02,"1:22:53 PM","2016","6/2/2016",-3.836,"Bone","4","yes","fragment","articulated","1",NA,"1","femur",NA,"distal",NA,NA,NA,NA,"femur, distal frag. dex (goes with D22-19)","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"articulated femour, artiodactile",-22.501,4.46
"671","E22","5","1",0,-3.891,"Bone","4",NA,"DG",4,166,360,105,NA,"yes","articulated tibia, artiodactile",2016-06-02,"1:29:13 PM","2016","6/2/2016",-3.891,"Bone","4","yes","complete","articulated","1",NA,"1","tibia","appendicular",NA,NA,NA,NA,NA,"tibia dex (goes with D22-19)","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"articulated tibia, artiodactile",-22.326,4.197
"672","E22","5","2",0,-3.885,"Bone","4",NA,"DG",12,220,270,50,NA,"yes","articulated metatarsal, artiodactile",2016-06-02,"1:29:23 PM","2016","6/2/2016",-3.885,"Bone","4","yes","complete","articulated","1",NA,"1","metapode",NA,NA,NA,NA,NA,NA,"metatarsal dex (goes with D22-19)","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"articulated metatarsal, artiodactile",-22.17,4.138
"673","E22","5","3",0,-3.85,"Bone","4",NA,"DG",NA,NA,290,120,NA,"yes","articulated I phalanx, artiodactile",2016-06-02,"1:29:30 PM","2016","6/2/2016",-3.85,"Bone","4","yes","complete","articulated","2",NA,"2","phalanx",NA,NA,NA,NA,NA,NA,"first phalanx (x2) dex (goes with D22-19)","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"articulated I phalanx, artiodactile",-22.085,4.266
"674","E22","5","4",0,-3.841,"Bone","4",NA,"DG",NA,NA,290,120,NA,"yes","articulated II phalanx, artiodactile",2016-06-02,"1:29:37 PM","2016","6/2/2016",-3.841,"Bone","4","yes","complete","articulated","2",NA,"2","phalanx",NA,NA,NA,NA,NA,NA,"second phalanx (x2) dex (goes with D22-19)","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"articulated II phalanx, artiodactile",-22.045,4.259
"675","E22","5","5",0,-3.838,"Bone","4",NA,"DG",NA,NA,290,120,NA,"yes","articulated III phalanx, artiodactile",2016-06-02,"1:29:43 PM","2016","6/2/2016",-3.838,"Bone","4","yes","complete","articulated","1",NA,"1","phalanx",NA,NA,NA,NA,NA,NA,"third phalanx (?x2) dex (goes with D22-19)","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"articulated III phalanx, artiodactile",-22.006,4.245
"718","F17","9","0",0.5,-3.885,"Bone","4",NA,"DG",NA,NA,NA,NA,NA,"yes","articulated tibia,",2016-06-09,"2:51:01 PM","2016","6/9/2016",-3.885,"Bone","4","yes","fragment","articulated","1",NA,"1","tibia","appendicular","distal",NA,NA,NA,NA,"tibia dex, distal frag.","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"articulated tibia,",-17.198,5.147
"719","F17","9","1",0.5,-3.901,"Bone","4",NA,"DG",14,356,NA,NA,NA,"yes","articulated tarsals,",2016-06-09,"2:52:51 PM","2016","6/9/2016",-3.901,"Bone","4","yes","complete","articulated","13",NA,"13","tarsal, sesamoid",NA,NA,NA,NA,NA,NA,"calcaneus, astragalus, cuboscaphoid, tarsals and sesamoids dex","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"articulated tarsals,",-17.311,5.117
